symbol,timeframe,active,first_day,last_day,n,sha256
EQIX,1d,1,17898,20658,1900,f46e9f90b1ac97867361bc3ae1ee544920b7aa64aeab1bf3f14d514b7bf1db67
EQNR,1d,1,17898,20658,1900,6cec07c56fc086340776f700f601ce6d93fdd383038a15a56cfb0658f0e57359
EQPT,1d,0,20476,20657,125,6340150342ffccfe09295572aff57674d10526e0526863f2b7b3e460377a620a
EQR,1d,0,17898,20657,1899,11099801e4fc885cb0b3886875cd90a7ae9278917ebcff0587c7ca138d1691c9
EQT,1d,0,17898,20657,1899,7e4e45419a362a9f2bfcb25d94e8e7e76476e7ef71d43be29cb06277213befe9
ERIC,1d,1,17898,20658,1900,21b49f16212801072df188fc414c72fd21c8213cb6b74e06e5192a624f35711e
ERNAW,1d,0,20490,20657,115,2b814b23eb9ba80f454664242d26cafc383e07f805f7f916a229e4151243d56f
EROC,1d,0,20614,20657,30,bc976872109163c9ad2d5e4d8849af97cabe691a070eea1066065527d5081deb
ES,1d,0,17898,20657,1899,309a735214150d0d702e8a31a962ae5c2ece462c0ab82bd8596125ca84d4dbf2
ESS,1d,0,17898,20657,1899,6308da05ea38f361b5e376f578ca292abcf7d3095e2c5c06f1f6a6e342ff4d7d
ESTC,1d,0,17898,20657,1899,3cc5691f949172e118bed111415e726489f233dc1a970d4a1208ca375ddac460
ETHA,1d,1,19927,20658,503,35cc27f06d183a0d4e9e50b7cbb0fc866cd6019bc6f4809dcdfb41128fc768ee
ETHT,1d,0,19881,20657,532,3d16d993fd429fbf03008beafa4aaed44923f9fd56ae7748a7ee457e488c0176
ETHU,1d,1,19878,20658,536,2d5ef9e1ab10d09502751874bdb8cabb512d47ec5cc6f96de6dddda8142efcce
ETN,1d,1,17898,20658,1900,cec2f71854e3f9107cd55175b9ec565a63a97484e239f311797758438b5b7795
ETR,1d,0,17898,20657,1899,31a3f079b4d50896bda257998e5deb891d55aad626fee98ed01ea9c2b065df7c
ETSY,1d,0,17898,20657,1899,5b9df2644409d476ee23b29681b11772ef8972d701f646ab0ed596ad5d0ae533
EVH,1d,0,17898,20657,1899,12e9dbfa2b93b2e240816a0359f181be37ede627d00a86dd4cfbaaf428868951
EVLVW,1d,0,18527,20650,1460,56a6034d3627f97a551f334688db69cc5fe247989f2041ca4bab098103f8aa52
EVRG,1d,0,17898,20657,1899,1c14d06282432c52b89def91bdfa7ab5364788ae02961488ae01859ff09075bf
EW,1d,0,17898,20657,1899,4d7082bf29cc1b3fc4968241aceb16c6c1131992709d202102f6510821bfec4c
EWTX,1d,0,18712,20657,1337,7a582d1483a19579fad3b87ffba007dbe4bc760211f09355ecfce647043a2d8e
EWY,1d,1,17898,20658,1900,65c37238b0b373a4bd9a22b38cedf0ccb985fe15ce7ed283a95c23ff03fd1ce4
EWZ,1d,1,17898,20658,1900,fd81dce368cfeb88e23d1a245977c8d3d1e52a7bf221248a33d6a4d872042356
EXC,1d,0,17898,20657,1899,89884d6240aaa2ca2a45352d1dbdce549db4143acb849e031f30cacc40795a98
EXPD,1d,0,17898,20657,1899,524354577e5a5f63e22993d1cec7a7bd877110ed81c447e48de47d5122a9b3f9
EXPE,1d,0,17898,20657,1899,e2d91dd48e27c80eea4546d547c4b54a072e01bbf8d9f199ae8dae87e519ab2d
EXR,1d,0,17898,20657,1899,5e847f493b309353931947120a8e057663c94cec4a2c1000d17cf8d7bdc19e86
F,1d,1,17898,20658,1900,d28223a862ef4d955de848b8a36b07766b69188e49b1a4c6aa98426b90ac3667
FA,1d,0,18801,20657,1276,268836b0140c298afada56a8a90377aaa393c0befd77665d80afd4f3c9d8757c
FAC,1d,1,20263,20658,273,a73832bf9f8d0bd45782df4a8afadd637ad86bad54601a0be0b1c2e5ba3b2bcf
FACWW,1d,0,20263,20657,272,07af60d9d5e5363c5e1493e1a59823275866c24119226ca0d35d11d035a8d31a
FANG,1d,0,17898,20657,1899,553bd22862f9715fdec102fc53fdc88bf471ca4179ec727eebd866c2064f0d04
FAST,1d,0,17898,20657,1899,01a059c0e611f06ce073a5ea5ac4e5c46e8c13eb7bd673c79ee253625b4340fc
FBIN,1d,0,17898,20657,1899,5aea53cb1c3ab3c80788911ee60b02e6d3722c94d8627249579507e90e6fb540
FBL,1d,0,19339,20657,904,23bca02978fce2de2b49243094744f6e784bb8dc1659e2e4a81f181f6b393d13
FBRX,1d,0,17898,20657,1899,9d3e9251e78871367c874280f4e15eefee8e3f68edd7f7073b6289bcd50a0690
FCEL,1d,0,17898,20657,1899,21ec228ab3cc6baf9aba219f99296978567dbfb11ac95d1ffdf17b7c04bf7511
FCX,1d,1,17898,20658,1900,9f985c93e051e668100aa3252ceae0c151d2c94a71ec1c22c73ac383bdf570c7
FDS,1d,0,17898,20657,1899,568bdd82874b6c15da8a1a887ca88786259c4c5e190b9dd726127a4f64bc198a
FDX,1d,1,17898,20658,1900,4039d5efade5cab9c970e7c2dc3217cc1b591c4da984f35269ec971729359dbb
FE,1d,0,17898,20657,1899,e60078a2d02a4aff576a930e8e1acb42251afa2f3f45a18db7d3a4028c6c1f53
FFAIW,1d,0,18502,20654,1478,d40ef6904b2224d38237d84ab5c9ccba875069f24b20b506f63b3983b0de0bea
FFIV,1d,0,17898,20657,1899,117f652fcd3b3b31d941f8d2d46728c24f6deff01d1c1dead47320cf6a26b4c3
FGIWW,1d,0,19017,20657,1127,f55b316682e141cc81d2a6c35a17d1b3e6dd09595e241f42ec554532d9e010bd
FI,1d,0,17898,20402,1725,0c198a7731b29895ecc556203c3ff66d3c09b0fb581d8e08c26cdfa8e8b06d45
FICO,1d,0,17898,20657,1899,4ccecadfdc087b23a1edf48129b6b39c8f78945dc6fd528c1fde256de734a6d9
FIG,1d,1,20300,20658,247,ecdde5247ea81877c5d982ec5d511a7d6414fb6b0e2caaab1be97c9f6c34e095
FIS,1d,0,17898,20657,1899,bf17bb930cf2a3803097bd2f2f3a6c798ee8e8d0cc050c6de226ff5699532782
FITB,1d,0,17898,20657,1899,a9d97ae172bab6c9ff8581b43b1fbdc94282811d59f899a773b0d0874ede1ed4
