h,target,model,k,s_net,s_sharpe,s_dd,s_tr,s_long,s_short,o_net,o_sharpe,o_dd,o_tr
42,extremes10,ens_lh,10,0.11963745263631378,1.0750665994763908,-0.18813949422286128,24,0.00958974700116285,-0.03928940387760841,0.6744600748493703,2.7632959942014215,0.0,7
42,extremes10,ens_lh,25,0.036567136002803674,0.26854352613633775,-0.23927759072190102,24,0.007292604744348703,-0.013896440589919195,0.1784943948706932,2.066250391211939,-0.03673331532136912,7
42,extremes10,ens_lh,50,0.0034916905624894543,0.04969694434331273,-0.20367765521333583,24,0.006473456608335143,-0.0036904402458280074,-0.012265101198774223,0.6266177434293921,-0.062080123962651446,7
42,extremes20,logit,10,0.03858584166285192,0.5231628257773199,-0.29786083157013754,24,-0.0030452960408528765,-0.02490724326180353,0.6127655145300814,2.7564206541741623,-0.014694597008570167,7
42,extremes20,logit,25,-0.0015451794313568823,0.2710564925626053,-0.17532958250202474,24,-0.0003735768032840494,-0.008858516992831762,0.23501021437677216,2.35600572226378,-0.02223227360509789,7
42,extremes20,logit,50,-0.02555505929159064,-0.04786909574819997,-0.19024589547533527,24,0.0014172673671152968,0.0009356204643121742,0.013837985682804053,1.2872254603181144,-0.020193311766307172,7
42,extremes20,ens_lh,10,0.07560479987835174,0.7979635408187891,-0.18709245520170867,24,-6.197136835656718e-05,-0.034263571327807156,0.6890776357310124,3.3068165553887487,0.0,7
42,extremes20,ens_lh,25,0.0133820073192536,-0.07132371297451048,-0.24515509033215274,24,0.004113518029894953,-0.009347151076522918,0.20945109321554245,4.150637800122414,0.0,7
42,extremes20,ens_lh,50,8.68655708696462e-05,0.0872534051343692,-0.1707110759060801,24,0.0060720792327614015,-0.002956875957528486,-0.05900104898316864,0.539683612131448,-0.051382027061622496,7
42,relative,logit,10,0.0021657171999247965,0.22707203280934285,-0.4009557111347053,24,-0.005476208465116613,-0.01519811419842489,0.7169924595556341,2.8525943109915435,0.0,7
42,relative,logit,25,-0.027839089447729337,-0.026420769655391044,-0.2871453103618557,24,-0.006335488168308668,-0.006055791685732222,0.3608345191573153,2.824699218911722,0.0,7
42,relative,logit,50,-0.05433920880037879,-0.34925871935500574,-0.2504996616486904,24,-0.004151694827046522,0.004961374773079737,0.06380692125914242,2.2366233216129645,-0.0035240424616289957,7
42,relative,ens_lh,10,0.07307888508489244,0.6679106951289666,-0.16453519773232045,24,-0.002765881782858756,-0.03612551014448957,0.6984256321675786,3.4419182559448447,0.0,7
42,relative,ens_lh,25,0.0024372210006095344,0.2520984924334414,-0.16971238647980236,24,0.002373634544326219,-0.007438772455876963,0.27337218281816345,2.7964918253179896,-0.005774406109205514,7
42,relative,ens_lh,50,-0.009759289128967296,-0.0022886026164169676,-0.10991518215023702,24,0.005820990439420061,7.408681574249095e-05,-0.027220140677661084,0.5729046007478842,-0.0457991303616495,7
